FECHA,HORA,SAG,VIF,XAL,ATI,CAM,CUT,FAC,TLA,TLI,BJU,HGM,IZT,MER,ACO,CHO,MPA,TAH,UIZ,AJM,CUA,INN,MGH,PED,SFE
12/1/2016,1,0,3,3,3,1,0,1,2,4,0,1,1,1,6,6,30,1,12,32,6,25,2,11,15
12/1/2016,2,2,2,2,1,2,0,1,2,3,0,1,1,1,5,8,35,3,15,31,11,21,2,8,20
12/1/2016,3,2,3,3,1,1,0,1,2,3,0,1,1,1,2,3,41,5,16,32,7,23,1,2,14
12/1/2016,4,1,1,4,4,1,1,1,0,1,2,2,1,1,1,2,44,8,18,28,5,24,2,1,15
12/1/2016,5,1,1,2,1,1,1,1,0,1,1,3,2,1,0,2,42,14,19,26,12,29,2,3,8
12/1/2016,6,1,1,3,1,1,1,1,1,0,1,1,2,1,0,2,34,16,17,24,14,27,2,1,1
12/1/2016,7,2,1,4,1,1,1,1,2,1,0,1,1,1,0,3,29,4,12,20,4,28,2,1,1
12/1/2016,8,2,2,3,1,2,1,1,2,1,1,2,2,2,2,3,24,6,11,18,4,27,2,2,1
12/1/2016,9,4,6,11,6,5,1,2,4,3,7,7,7,5,7,8,28,12,16,17,7,27,8,6,10
12/1/2016,10,16,17,18,14,13,8,12,12,9,15,17,17,14,23,24,31,23,26,22,17,30,19,15,25
12/1/2016,11,30,29,29,29,27,27,22,29,20,28,30,32,28,34,28,36,33,32,33,30,33,28,30,33
12/1/2016,12,41,45,43,41,40,45,31,40,41,43,42,41,39,44,31,35,34,33,44,36,36,36,39,39
12/1/2016,13,58,61,59,49,54,59,43,50,48,57,54,52,45,47,32,39,38,36,52,45,38,49,48,51
12/1/2016,14,67,67,72,59,68,76,54,63,56,69,65,63,61,55,35,42,43,40,66,41,42,60,56,61
12/1/2016,15,82,74,81,71,72,87,65,73,64,79,75,69,70,62,39,50,47,45,72,38,46,65,72,52
12/1/2016,16,96,86,91,78,60,92,60,75,77,67,66,53,65,78,44,52,47,48,75,42,51,54,72,46
12/1/2016,17,49,96,50,78,48,73,45,74,82,52,53,52,45,60,46,58,54,53,60,46,54,43,52,48
12/1/2016,18,31,48,35,66,36,49,42,38,53,41,45,36,29,37,54,62,67,61,52,40,57,42,40,35
12/1/2016,19,21,14,32,23,17,20,14,12,28,10,20,25,19,28,37,55,57,50,49,36,51,39,23,17
12/1/2016,20,24,22,20,13,20,11,2,9,21,8,16,17,14,21,18,45,40,34,45,33,37,32,14,25
