FECHA,HORA,ATI,CAM,FAC,TLA,TLI,ACO,CUT,SAG,VIF,XAL,BJU,IZT,HGM,MER,AJM,CUA,INN,MGH,SFE,PED,CHO,MPA,TAH,UIZ
12/1/2016,1,31,50,31,67,53,49,62,79,57,113,41,37,47,68,10,44,10,34,25,25,25,6,44,25
12/1/2016,2,44,34,23,52,46,49,63,78,52,100,44,36,44,72,7,17,9,33,17,17,22,6,35,21
12/1/2016,3,54,34,17,53,42,48,49,50,60,113,43,40,42,77,5,27,6,28,17,17,30,14,26,23
12/1/2016,4,30,36,4,51,49,45,46,73,68,108,40,36,38,73,8,14,7,22,13,13,50,13,26,30
12/1/2016,5,52,49,27,43,147,45,50,58,70,105,36,33,40,49,9,17,4,28,15,15,32,11,24,22
12/1/2016,6,45,43,11,51,62,45,53,91,73,124,42,23,34,59,5,19,3,39,17,17,39,14,24,26
12/1/2016,7,67,61,45,93,86,43,54,119,107,166,42,31,38,75,12,11,3,56,21,21,29,10,32,24
12/1/2016,8,87,97,107,91,139,51,131,107,135,196,52,43,62,114,16,46,2,45,27,27,55,12,49,39
12/1/2016,9,75,76,79,83,139,46,194,102,110,91,49,30,57,89,30,49,5,43,32,32,105,9,54,56
12/1/2016,10,82,78,74,100,166,46,93,61,115,88,41,38,63,85,30,47,6,30,28,28,60,14,55,43
12/1/2016,11,48,40,74,81,126,42,105,67,133,53,26,25,39,45,26,18,9,38,23,23,16,16,15,16
12/1/2016,12,22,22,22,32,10,44,58,55,66,43,18,6,25,16,29,11,10,22,18,18,13,15,10,13
12/1/2016,13,9,26,17,16,2,28,65,43,35,43,25,8,32,36,25,15,9,20,17,17,16,15,16,16
12/1/2016,14,2,25,20,38,11,28,36,40,34,44,25,3,43,27,27,20,13,22,21,21,38,16,49,34
12/1/2016,15,19,24,26,22,31,31,65,25,27,41,25,14,40,20,27,25,12,24,22,22,51,28,32,37
12/1/2016,16,30,26,16,26,36,45,59,18,47,48,26,33,42,50,25,26,16,14,20,20,110,33,29,57
12/1/2016,17,22,30,26,34,57,49,29,62,59,73,40,34,39,42,32,37,17,21,27,27,48,17,34,33
12/1/2016,18,45,58,93,66,89,65,47,72,100,91,40,49,40,78,28,51,17,36,33,33,89,31,38,53
12/1/2016,19,92,63,87,71,88,79,122,82,100,84,47,48,47,50,31,29,20,30,28,28,28,24,34,29
12/1/2016,20,63,44,69,70,66,67,153,52,101,83,46,37,42,42,28,26,19,24,24,24,25,19,43,29
12/1/2016,21,48,60,43,61,144,83,93,77,91,87,50,31,39,66,33,33,16,23,26,26,46,21,61,43
12/1/2016,22,51,63,40,62,120,76,73,54,88,85,50,38,57,52,35,26,14,32,27,27,38,20,64,41
12/1/2016,23,38,80,50,90,95,100,47,58,95,99,61,40,61,72,33,27,14,30,26,26,59,18,50,42
12/1/2016,24,32,52,51,59,66,88,38,55,113,77,54,41,52,69,36,38,20,36,33,33,40,21,40,34
12/2/2016,1,23,45,48,59,48,87,43,61,118,76,47,36,51,56,33,50,20,42,36,36,36,23,44,34
12/2/2016,2,26,44,45,62,41,67,47,50,93,79,52,39,54,60,30,54,19,43,37,37,9,26,28,21
12/2/2016,3,29,37,34,44,40,47,65,53,73,75,43,38,50,64,38,38,25,42,36,36,39,26,30,32
12/2/2016,4,29,36,26,38,50,48,48,61,81,119,41,34,45,44,39,37,20,40,34,34,22,27,29,26
